Model,Target,Attack Type,F1,Precision,Recall,FPR,Protocol
Logistic Regression,Detection,Aggregate (All),0.972973,0.972973,0.972973,0.0,Corrected 37-fold LOEO
Logistic Regression,Detection,Botnet,1.0,1.0,1.0,0.0,Corrected 37-fold LOEO
Logistic Regression,Detection,DDOS-LOIC-UDP,1.0,1.0,1.0,0.0,Corrected 37-fold LOEO
Logistic Regression,Detection,SSH-Bruteforce,0.888889,0.888889,0.888889,0.0,Corrected 37-fold LOEO
LSTM + UCS,Detection,Aggregate (All),0.748678,0.751282,0.786486,0.038949,Corrected 37-fold LOEO
LSTM + UCS,Detection,Botnet,0.218182,0.3,0.21,0.0,Corrected 37-fold LOEO
LSTM + UCS,Detection,DDOS-LOIC-UDP,0.953704,0.935185,1.0,0.032323,Corrected 37-fold LOEO
LSTM + UCS,Detection,SSH-Bruteforce,0.928066,0.884899,1.0,0.095479,Corrected 37-fold LOEO
Logistic Regression,Onset,Aggregate (All),0.888031,0.945946,0.878378,0.0,Corrected 37-fold LOEO
Logistic Regression,Onset,Botnet,0.928571,1.0,0.916667,0.0,Corrected 37-fold LOEO
Logistic Regression,Onset,DDOS-LOIC-UDP,0.904762,0.944444,0.898148,0.0,Corrected 37-fold LOEO
Logistic Regression,Onset,SSH-Bruteforce,0.809524,0.888889,0.796296,0.0,Corrected 37-fold LOEO
LSTM + UCS,Onset,Aggregate (All),0.672843,0.693647,0.708494,0.088253,Corrected 37-fold LOEO
LSTM + UCS,Onset,Botnet,0.333333,0.4,0.304762,0.0,Corrected 37-fold LOEO
LSTM + UCS,Onset,DDOS-LOIC-UDP,0.765432,0.749206,0.833333,0.109259,Corrected 37-fold LOEO
LSTM + UCS,Onset,SSH-Bruteforce,0.864898,0.908802,0.907407,0.1443,Corrected 37-fold LOEO
